"VIRGIN ISLANDS, BRITISH", 69 , * , * , 1 , * , * , 1 , 2 , 4 , 5 , 9 , 2 , 13 , 2 , 1 , * ,"VIRGIN ISLANDS, BRITISH",
"VIRGIN ISLANDS, U.S", 1 , 157 , 1 , 71 , 1 , * , 1 , * , 1 , -   , 2 , -   , 2 , 1 , * , * ,"VIRGIN ISLANDS, U.S",
CANADA," 2,923 "," 3,525 "," 3,550 "," 3,533 "," 3,978 "," 6,359 "," 4,882 "," 4,174 "," 2,771 "," 3,047 "," 3,273 "," 3,346 "," 3,045 "," 3,567 "," 5,466 "," 4,301 ",CANADA,
SAINT BARTHELEMY, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,SAINT BARTHELEMY,
SAINT MARTIN (FRENCH PART), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,SAINT MARTIN (FRENCH PART),
SAINT PIERRE AND MIQUELON, -   , -   , * , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   ,SAINT PIERRE AND MIQUELON,
TURKS AND CAICOS ISLANDS, * , -   , * , 1 , * , * , * , 1 , -   , * , * , * , -   , -   , -   , -   ,TURKS AND CAICOS ISLANDS,
UNITED STATES," 80,233 "," 88,680 "," 90,811 "," 96,542 "," 109,080 "," 142,244 "," 167,208 "," 161,272 "," 55,658 "," 65,275 "," 64,947 "," 68,678 "," 69,705 "," 74,727 "," 100,421 "," 88,850 ",UNITED STATES,
AFGHANISTAN, 354 , 518 , 431 , 455 , 497 , 894 ," 1,574 "," 1,535 ", 1 , 2 , 4 , * , * , * , 2 , 17 ,AFGHANISTAN,
ARMENIA, 17 , 8 , 4 , 5 , 7 , 7 , 8 , 14 , 1 , * , * , 1 , 1 , 1 , 1 , * ,ARMENIA,
AZERBAIJAN, 35 , 49 , 230 , 122 , 96 , 125 , 41 , 120 , 1 , 3 , 1 , 1 , 287 , * , * , 2 ,AZERBAIJAN,
BAHRAIN, 266 , 456 , 278 , 273 , 257 , 354 , 248 , 214 , 595 , 558 , 442 , 956 ," 3,070 "," 1,105 ", 866 ," 1,281 ",BAHRAIN,
BANGLADESH," 5,167 "," 6,545 "," 9,012 "," 9,732 "," 5,163 "," 9,358 "," 18,263 "," 11,204 ", 788 , 950 ," 1,064 ", 958 , 872 ," 1,300 "," 1,428 "," 1,499 ",BANGLADESH,
BHUTAN, 6 , 3 , 4 , 5 , 6 , 7 , 9 , 9 , * , 1 , 1 , * , * , * , * , * ,BHUTAN,
BRITISH INDIAN OCEAN TERRITORY, * , 1 , -   , -   , * , 1 , * , 1 , -   , -   , -   , -   , * , -   , -   , * ,BRITISH INDIAN OCEAN TERRITORY,
BRUNEI DARUSSALAM," 2,124 "," 2,308 "," 2,213 "," 2,289 "," 2,776 "," 5,213 "," 7,649 "," 6,404 ", 651 ," 2,600 "," 1,749 "," 1,941 "," 1,937 "," 2,131 "," 5,793 "," 2,971 ",BRUNEI DARUSSALAM,
CAMBODIA," 1,182 "," 1,247 "," 1,549 "," 2,595 "," 1,495 "," 1,894 "," 2,311 "," 2,348 ", 584 , 709 , 706 , 685 , 478 , 454 , 693 , 675 ,CAMBODIA,
CHINA," 98,578 "," 125,957 "," 139,147 "," 140,931 "," 159,223 "," 192,475 "," 210,554 "," 191,885 "," 142,387 "," 164,445 "," 175,417 "," 175,667 "," 172,217 "," 229,016 "," 275,826 "," 258,127 ",CHINA,
GEORGIA, 79 , 109 , 87 , 110 , 157 , 209 , 136 , 175 , 15 , 6 , 69 , 16 , 16 , 29 , 15 , 94 ,GEORGIA,
HONG KONG," 37,641 "," 47,713 "," 74,831 "," 66,624 "," 68,167 "," 76,706 "," 95,671 "," 89,836 "," 12,669 "," 14,011 "," 15,141 "," 14,064 "," 14,196 "," 17,637 "," 17,601 "," 15,250 ",HONG KONG,
INDIA," 31,999 "," 34,531 "," 36,343 "," 38,587 "," 30,404 "," 45,203 "," 54,762 "," 45,533 "," 16,702 "," 26,853 "," 26,497 "," 24,285 "," 24,930 "," 24,531 "," 31,458 "," 29,852 ",INDIA,
INDONESIA," 27,945 "," 33,631 "," 31,907 "," 31,328 "," 29,589 "," 39,180 "," 55,736 "," 50,910 "," 29,486 "," 37,879 "," 40,490 "," 38,898 "," 36,694 "," 56,127 "," 73,968 "," 60,301 ",INDONESIA,
"IRAN, ISLAMIC REPUBLIC OF"," 2,163 "," 3,254 "," 2,788 "," 1,789 "," 1,345 "," 2,344 "," 3,447 "," 1,875 ", 642 ," 1,267 "," 1,008 ", 192 , 216 , 283 , 237 , 213 ,"IRAN, ISLAMIC REPUBLIC OF",
IRAQ, 481 , 551 , 535 , 504 , 501 ," 1,864 "," 3,447 "," 1,943 ", 437 ," 1,799 "," 1,386 "," 1,260 "," 1,269 "," 1,900 "," 1,230 ", 447 ,IRAQ,
JAPAN," 63,743 "," 75,597 "," 70,385 "," 65,998 "," 62,561 "," 75,816 "," 98,658 "," 85,830 "," 56,982 "," 63,611 "," 63,858 "," 63,594 "," 61,581 "," 73,942 "," 83,076 "," 70,917 ",JAPAN,
JORDAN, 408 , 411 , 461 , 488 , 378 , 800 , 784 , 681 , 291 , 243 , 275 , 211 , 238 , 335 , 738 , 513 ,JORDAN,
KAZAKHSTAN, 181 , 297 , 360 , 269 , 434 , 363 , 567 , 466 , 23 , 40 , 37 , 14 , 17 , 44 , 5 , 9 ,KAZAKHSTAN,
"KOREA, REPUBLIC OF"," 22,905 "," 28,586 "," 34,237 "," 34,230 "," 34,714 "," 38,224 "," 54,906 "," 56,387 "," 36,675 "," 39,119 "," 39,284 "," 38,828 "," 46,113 "," 50,084 "," 59,187 "," 55,298 ","KOREA, REPUBLIC OF",
KUWAIT, 740 , 809 , 885 , 707 , 548 , 763 , 878 , 871 ," 1,859 "," 1,122 "," 1,928 ", 820 , 788 , 942 ," 3,342 "," 2,819 ",KUWAIT,
KYRGYZSTAN, 8 , 10 , 9 , 8 , 5 , 10 , 39 , 161 , * , * , * , * , * , * , 1 , 1 ,KYRGYZSTAN,
"LAO, PEOPLE'S DEMOCRATIC REPUBLIC", 77 , 62 , 41 , 34 , 56 , 113 , 946 , 135 , 51 , 24 , 29 , 41 , 48 , 89 , 181 , 75 ,"LAO, PEOPLE'S DEMOCRATIC REPUBLIC",
LEBANON, 259 , 314 , 303 , 237 , 161 , 209 , 247 , 265 , 41 , 27 , 23 , 14 , 15 , 33 , 48 , 45 ,LEBANON,
MACAO, 114 , 97 , 113 , 134 , 114 , 119 , 163 , 141 , 55 , 70 , 83 , 39 , 48 , 84 , 247 , 76 ,MACAO,
MALDIVES, 484 , 588 , 604 , 535 , 365 , 501 ," 1,007 ", 805 , 5 , 3 , 2 , 4 , 5 , 3 , 1 , 22 ,MALDIVES,
MONGOLIA, 65 , 73 , 101 , 113 , 104 , 143 , 193 , 153 , 1 , * , 2 , 1 , * , * , 5 , 2 ,MONGOLIA,
MYANMAR," 3,925 "," 4,134 "," 2,810 "," 2,831 "," 3,067 "," 2,711 "," 5,967 "," 4,003 ", 824 , 967 ," 1,233 "," 1,089 ", 937 ," 1,169 "," 1,411 "," 1,056 ",MYANMAR,
NEPAL, 120 , 122 , 134 , 160 , 156 , 232 , 253 , 245 , 2 , 2 , 1 , 2 , 3 , 2 , 3 , 7 ,NEPAL,

OMAN, 979 ," 1,188 "," 1,067 ", 751 , 760 ," 1,204 "," 1,505 "," 1,450 "," 1,098 "," 1,319 "," 2,273 "," 1,808 "," 2,739 "," 3,247 "," 5,239 "," 3,650 ",OMAN,
PAKISTAN," 4,855 "," 5,044 "," 5,176 "," 4,880 "," 4,761 "," 5,997 "," 6,016 "," 4,386 ", 712 , 720 , 757 ," 1,066 "," 1,097 "," 1,899 "," 1,827 "," 2,045 ",PAKISTAN,
PALESTINIAN TERRITORY OCCUPIED, 4 , 7 , 8 , 8 , 14 , 5 , 7 , 13 , 1 , 3 , 5 , 3 , 4 , 4 , 7 , 7 ,PALESTINIAN TERRITORY OCCUPIED,
PHILIPPINES," 13,638 "," 16,521 "," 16,955 "," 18,607 "," 17,607 "," 22,629 "," 28,235 "," 26,445 "," 6,596 "," 8,976 "," 9,199 "," 9,030 "," 8,780 "," 9,924 "," 13,033 "," 9,672 ",PHILIPPINES,
QATAR, 623 , 762 , 990 ," 1,685 "," 1,128 "," 1,488 "," 1,471 "," 1,452 "," 1,742 "," 2,116 "," 2,731 "," 1,799 ", 984 ," 1,139 "," 3,243 "," 2,751 ",QATAR,
SAUDI ARABIA," 3,373 "," 4,235 "," 3,771 "," 3,502 "," 4,139 "," 5,062 "," 7,160 "," 6,858 "," 10,651 "," 10,689 "," 17,901 "," 18,808 "," 16,158 "," 12,503 "," 38,155 "," 43,658 ",SAUDI ARABIA,
